Location, Mass, Year, Long, Lat
Sikhote-Alin,23000000,1947,46.16,134.65333
Jilin,4000000,1976,44.05,126.16667
Allende,2000000,1969,26.96667,-105.31667
Norton County,1100000,1948,39.68333,-99.86667
Kunya-Urgench,1100000,1998,42.25,59.2
Jianshi,600000,1890,30.80833,109.5
Knyahinya,500000,1866,48.9,22.4
Ochansk,500000,1887,57.78333,55.26667
Paragould,408000,1930,36.06667,-90.5
Bjurb̦le,330000,1899,60.4,25.8
Millbillillie,330000,1960,-26.45,120.36667
Sterlitamak,325000,1990,53.66667,55.98333
Estherville,320000,1879,43.41667,-94.83333
Bruderheim,303000,1960,53.9,-112.88333
Mocs,300000,1882,46.8,24.03333
Putinga,300000,1937,-29.03333,-53.05
Saint-S̩verin,271000,1966,45.3,0.23333
Suizhou,260000,1986,31.61667,113.46667
Boguslavka,256000,1916,44.55,131.63333
Pultusk,250000,1868,52.76667,21.26667
Omolon,250000,1981,64.02,161.80833
New Concord,230000,1860,40,-81.76667
Homestead,230000,1875,41.8,-91.86667
Alfianello,228000,1883,45.26667,10.15
Holbrook,220000,1912,34.9,-110.18333
Lowell,200000,1846,42.68333,-71.35
Saratov,200000,1918,52.55,46.55
Kainsaz,200000,1937,55.43333,53.25
Kunashak,200000,1949,55.78333,61.36667
Djati-Pengilon,166000,1884,-7.5,111.5
Tenham,160000,1879,-25.73333,142.95
Forest City,152000,1890,43.25,-93.66667
Glasatovo,152000,1918,57.35,37.61667
Weston,150000,1807,41.266667,-73.266667
Olivenza,150000,1924,38.71667,-7.06667
Wiluna,150000,1967,-26.59278,120.32833
Mbale,150000,1992,1.06667,34.16667
Montferr̩,149000,1923,43.39056,1.9625
Molina,144000,1858,38.11667,-1.16667
Kesen,135000,1850,38.98333,141.61667
Dong Ujimqin Qi,128800,1995,45.5,119.03333
Ensisheim,127000,1492,47.86667,7.35
Bur-Gheluai,120000,1919,5,48
Mount Tazerzait,110000,1991,18.7,4.8
Sulagiri,110000,2008,12.66667,78.03333
Elbogen,107000,1400,50.18333,12.73333
Abee,107000,1952,54.21667,-113
Colby (Wisconsin),104000,1917,44.9,-90.28333
Udei Station,103000,1927,7.95,8.08333
Sevrukovo,101000,1874,50.61667,36.6
Paranaiba,100000,1956,-19.13333,-51.66667
Murchison,100000,1969,-36.61667,145.2
Kidairat,100000,1983,14,28
Gujba,100000,1984,11.49167,11.65833
Juancheng,100000,1997,35.5,115.41667
Chergach,100000,2007,23.69639,-5.01472
Tamdakht,100000,2008,31.16333,-7.015
Machinga,93200,1981,-15.21222,35.24222
Juvinas,91000,1821,44.71667,4.3
Richardton,90000,1918,46.88333,-102.31667
Farmington,89400,1890,39.75,-97.03333
Bath Furnace,86000,1902,38.25,-83.75
Kayakent,85000,1961,39.26333,31.78
Kernouve,80000,1869,48.11667,-3.08333
Soko-Banja,80000,1877,43.66667,21.86667
Parnallee,77600,1857,9.23333,78.35
Xingyang,75500,1977,32.33333,114.31667
Tilden,74800,1927,38.2,-89.68333
Merua,71400,1920,25.48333,81.98333
Portales Valley,71400,1998,34.175,-103.295
Mahadevpur,70500,2007,27.66667,95.78333
Pe̱a Blanca Spring,70000,1946,30.125,-103.11667
Kheri Maham,68500,1986,28.97083,76.32278
Rahimyar Khan,67225,1983,28.225,70.2
Pervomaisky,66000,1933,56.63333,39.43333
Timochin,65500,1807,54.5,35.2
Treysa,63000,1916,50.91667,9.18333
��owicz,59000,1935,52,19.91667
Phillips County (stone),57900,1901,40,-99.25
Farmville,56000,1934,35.55,-77.53333
Elenovka,54640,1951,47.83333,37.66667
Veramin,54000,1880,35.33333,51.63333
Nan Yang Pao,52900,1917,35.66667,103.5
Stannern,52000,1808,49.28333,15.56667
Lanc̩,51700,1872,47.7,1.06667
Leedey,51500,1943,35.88333,-99.33333
Birgi,50800,1332,38.23333,28.1
Limerick,50000,1813,52.56667,-8.78333
Ausson,50000,1858,43.08333,0.58333
Aumale,50000,1865,36.16667,3.66667
Krymka,50000,1946,47.83333,30.76667
Valera,50000,1972,9.31667,-70.62833
Nuevo Mercurio,50000,1978,24.3,-102.13333
Akyumak,50000,1981,39.91667,42.81667
Wuan,50000,1986,36.75,114.25
Hraschina,49000,1751,46.1,16.33333
Cabin Creek,48500,1886,35.5,-93.5
Jackalsfontein,48000,1903,-32.5,21.9
Dresden (Ontario),47700,1939,42.52,-82.26
Peace River,45760,1963,56.13333,-117.93333
Thuathe,45300,2002,-29.33333,27.58333
Kyushu,45000,1886,32.03333,130.63333
Marjalahti,45000,1902,61.5,30.5
Kuttippuram,45000,1914,10.83333,76.03333
Dhajala,45000,1976,22.37778,71.42722
La Criolla,45000,1985,-31.23333,-58.16667
Bensour,45000,2002,30,-7
Barwell,44000,1965,52.56528,-1.33972
Piplia Kalan,42000,1996,26.03472,73.94167
Karoonda,41730,1930,-35.08333,139.91667
Buzzard Coulee,41000,2008,52.996,-109.84817
Johnstown,40300,1924,40.35,-104.9
Pavlograd,40000,1826,48.53333,35.98333
Uberaba,40000,1903,-19.81667,-48.78333
Olmedilla de Alarc�_n,40000,1929,39.56667,-2.1
Sivas,40000,1989,39.82467,36.13583
Lohawat,40000,1994,26.96556,72.62667
Braunau,39000,1847,50.6,16.3
Guare̱a,39000,1892,38.73333,-6.01667
N'Goureyma,37500,1900,13.85,-4.38333
Patwar,37350,1935,23.15,91.18333
L'Aigle,37000,1803,48.76667,0.63333
Songyuan,36900,1993,45.25,125
Woolgorong,36000,1960,-27.75,115.83333
Modoc (1905),35000,1905,38.5,-101.1
Gursum,34650,1981,9.36667,42.41667
Cangas de Onis,34000,1866,43.38333,-5.15
St�_lldalen,34000,1876,59.93333,14.95
Jelica,34000,1889,43.83333,20.44167
Jumapalo,32490,1984,-7.71667,111.2
Dhurmsala,32000,1860,32.23333,76.46667
Allegan,32000,1899,42.53333,-85.88333
Chantonnay,31500,1812,46.68333,1.05
Agen,30000,1814,44.21667,0.61667
Ch̢teau-Renard,30000,1841,47.93333,2.91667
Tuxtuac,30000,1975,21.66667,-103.36667
Bassikounou,29560,2006,15.78333,-5.9
Hatford,29000,1628,51.65,-1.51667
Butsura,29000,1861,27.08333,84.08333
Tennasilm,28500,1872,58.03333,26.95
Marion (Iowa),28400,1847,41.9,-91.6
Walters,28100,1946,34.33333,-98.3
Tieschitz,28000,1878,49.6,17.11667
Charsonville,27000,1810,47.93333,1.56667
Indarch,27000,1891,39.75,46.66667
Forest Vale,26000,1942,-33.35,146.85833
Desuri,25400,1962,25.73333,73.61667
St-Robert,25400,1994,45.96861,-72.97806
Juromenha,25250,1968,38.74028,-7.27
Wold Cottage,25000,1795,54.13667,-0.41333
Cabezo de Mayo,25000,1870,37.98333,-1.16667
Bursa,25000,1946,40.2,29.23333
Bilanga,25000,1999,12.45,-0.08333
Benguerir,25000,2004,32.25,-8.15
